keyword,normalized_query,search_intent,cluster,subcluster,country,city,audience,course,problem,funnel_stage,estimated_demand,competition_evidence,opportunity_score,ai_search_potential,existing_target_url,recommended_target_url,cannibalization_risk,content_type,action,evidence_source,confidence
quran classes online,quran classes online,commercial,quran-learning-service,service,New Zealand,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:80,55.7,MEDIUM,/locations/online-quran-classes-new-zealand,/locations/online-quran-classes-new-zealand,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran teacher,quran teacher,commercial,quran-learning-service,service,New Zealand,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:87,55.7,MEDIUM,/locations/online-quran-classes-new-zealand,/locations/online-quran-classes-new-zealand,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran tuition,quran tuition,commercial,quran-learning-service,service,New Zealand,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:67,55.7,MEDIUM,/locations/online-quran-classes-new-zealand,/locations/online-quran-classes-new-zealand,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran tutor online,quran tutor online,commercial,quran-learning-service,service,New Zealand,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:98,55.7,MEDIUM,/locations/online-quran-classes-new-zealand,/locations/online-quran-classes-new-zealand,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
rabbana atina fid-dunya hasanatan wa fil-akhirati hasanatan wa qina 'adhaban-nar,rabbana atina fid-dunya hasanatan wa fil-akhirati hasanatan wa qina 'adhaban-nar,informational,duas-supplications,guide,Italy,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:9,55.7,MEDIUM,/blog/rabbana-atina-fid-dunya,/blog/rabbana-atina-fid-dunya,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
what to read in attahiyat,what to read in attahiyat,informational,salah-prayer,guide,GHA,,none,quran-reading,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:7,55.7,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
at tahiyyatu lillahi in english,at tahiyyatu lillahi in english,informational,salah-prayer,guide,India,,none,none,none,top,GSC_IMPRESSIONS_68D:5,GSC_AVG_POSITION:6.6,55.3,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
full attahiyat in english,full attahiyat in english,informational,salah-prayer,guide,India,,none,none,none,top,GSC_IMPRESSIONS_68D:5,GSC_AVG_POSITION:9.2,55.3,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
attahiyat lillahi in english,attahiyat lillahi in english,informational,salah-prayer,guide,UAE,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:8.5,55.1,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran courses singapore,quran courses singapore,commercial,quran-learning-service,service,Singapore,,none,none,none,middle,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:52.5,55.1,MEDIUM,/locations/online-quran-classes-singapore,/locations/online-quran-classes-singapore,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
surah masura in english,surah masura in english,informational,quran-surahs,reference,UAE,,none,none,none,top,GSC_IMPRESSIONS_68D:4,GSC_AVG_POSITION:8.5,54.9,HIGH,/blog/dua-e-masura-arabic-english,/blog/dua-e-masura-arabic-english,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
attahiyat in english,attahiyat in english,informational,salah-prayer,guide,Pakistan,,none,none,none,top,GSC_IMPRESSIONS_68D:67,GSC_AVG_POSITION:13.8,54.7,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
dua for sajdah tilawat,dua for sajdah tilawat,informational,salah-prayer,guide,India,,none,none,none,top,GSC_IMPRESSIONS_68D:15,GSC_AVG_POSITION:8.8,54.6,MEDIUM,/blog/sajdah-tilawat-dua-arabic-english,/blog/sajdah-tilawat-dua-arabic-english,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
online quran class,online quran class,commercial,quran-learning-service,service,Singapore,,none,none,none,middle,GSC_IMPRESSIONS_68D:3,GSC_AVG_POSITION:82,54.4,MEDIUM,/locations/online-quran-classes-singapore,/locations/online-quran-classes-singapore,MEDIUM,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
attahiyyaatu lillahi,attahiyyaatu lillahi,informational,salah-prayer,guide,Finland,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:10,54.3,LOW,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
aththahiyath dua in english,aththahiyath dua in english,informational,salah-prayer,guide,India,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:2,54.3,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
attahiyaat,attahiyaat,informational,salah-prayer,guide,Finland,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:8,54.3,LOW,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
attahiyat prayer full,attahiyat prayer full,informational,salah-prayer,guide,Norway,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:10,54.3,LOW,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
how to read attahiyat,how to read attahiyat,informational,salah-prayer,guide,India,,none,quran-reading,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:1,54.3,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
how to say attahiyat in salah,how to say attahiyat in salah,informational,salah-prayer,guide,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:6,GSC_AVG_POSITION:12.2,54.1,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
what is wazifa in english,what is wazifa in english,informational,duas-supplications,guide,India,,none,none,none,top,GSC_IMPRESSIONS_68D:6,GSC_AVG_POSITION:6.5,54.1,HIGH,/blog/what-is-wazifa-in-islam,/blog/what-is-wazifa-in-islam,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
online quran classes australia,online quran classes australia,commercial,quran-learning-service,service,Australia,,none,none,none,middle,GSC_IMPRESSIONS_68D:11,GSC_AVG_POSITION:82.3,53.9,MEDIUM,/locations/online-quran-classes-australia,/locations/online-quran-classes-australia,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
online quran course,online quran course,commercial,quran-learning-service,service,Australia,,none,none,none,middle,GSC_IMPRESSIONS_68D:11,GSC_AVG_POSITION:90.6,53.9,MEDIUM,/locations/online-quran-classes-australia,/locations/online-quran-classes-australia,HIGH,service,DIFFERENTIATE INTENT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
quran class singapore,quran class singapore,commercial,quran-learning-service,service,Singapore,,none,none,none,middle,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:87.5,53.7,MEDIUM,/locations/online-quran-classes-singapore,/locations/online-quran-classes-singapore,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
attahiyat lillahi wa salawatu meaning,attahiyat lillahi wa salawatu meaning,informational,salah-prayer,guide,United Kingdom,,none,none,none,top,GSC_IMPRESSIONS_68D:4,GSC_AVG_POSITION:19.5,53.4,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
